id_venta,id_producto,cantidad,precio
1,28,3,220.1471197629623
2,50,4,58.32599044801838
3,43,9,100.7256387014356
4,12,2,434.12977560470756
5,6,1,159.09630177413322
6,23,1,133.20373057450124
7,16,9,334.2687933361676
8,24,7,437.7803872216218
9,29,2,183.5787872907292
10,17,1,282.6836420451991
11,10,5,346.7025207556392
12,44,6,404.257307167319
13,32,9,268.83258981876077
14,31,5,155.6108045682938
15,25,6,311.9649815348729
16,11,1,95.84009891406879
17,31,9,94.7374466706532
18,37,8,22.902220379154617
19,44,9,88.18535159537792
20,11,4,21.88161068853301
21,28,1,14.419824019407159
22,4,7,123.79340885804126
23,13,9,192.73201123947732
24,3,8,36.76356777513994
25,12,1,169.66937441212679
26,41,1,386.28834283995064
27,3,8,423.4294072626329
28,26,7,438.23332009254636
29,43,8,37.409793471528275
30,16,9,58.818526881962015
31,41,8,314.1688146742727
32,27,7,441.23475850820836
33,16,4,309.83507319385683
34,30,3,409.2798725486975
35,5,6,367.3516454041504
36,10,3,105.65968782099353
37,48,2,351.43574900130176
38,28,3,109.16251617919492
39,32,8,121.3683750030704
40,10,1,189.5811024699843
41,2,8,374.6754708752247
42,17,7,146.56637911229762
43,45,2,153.53499257279168
44,49,4,193.38441250529502
45,33,7,67.78100806005355
46,42,8,116.47048284715153
47,21,4,111.93818053065198
48,16,3,301.5439244327735
49,38,6,44.24925455091501
50,14,7,273.922113761332
51,8,7,479.24153463760473
52,15,7,267.8096773179171
53,20,4,88.52014698887055
54,40,1,231.40191724419896
55,28,9,22.901162222722274
56,14,8,79.71766583649844
57,48,5,141.2790097774034
58,27,2,483.471666804021
59,37,6,37.35913767961559
60,26,9,394.4854005038082
61,47,6,343.01530617455313
62,12,9,476.29303532335734
63,21,3,393.24079121373836
64,11,9,20.590558950671856
65,38,9,412.7270671849508
66,28,5,158.1275735307329
67,43,7,433.09588329236107
68,30,7,487.36194938244245
69,9,2,401.7588998282126
70,27,5,233.47700197883444
71,40,6,404.8584598119871
72,38,9,228.6964886113661
73,46,4,387.948132829901
74,15,2,429.0838758039931
75,30,3,79.86113005155087
76,25,7,246.9809915709999
77,22,8,52.84353419642146
78,7,3,212.27036990381993
79,39,8,36.31246193627185
80,15,7,66.32010709736439
81,26,1,110.64438969357941
82,43,6,438.58029175165143
83,12,3,286.3958690524317
84,2,4,110.50621614220468
85,39,2,468.3514854403651
86,31,9,86.04363369357473
87,6,8,139.55615236060063
88,41,7,29.477106929468633
89,42,5,77.9012579722661
90,6,3,77.44637057905364
91,32,7,199.07869997826398
92,23,9,168.3537232134059
93,40,6,173.8862398479119
94,46,8,136.21337438928322
95,48,6,154.60712621701788
96,14,4,498.37527772205664
97,9,3,497.5939103626327
98,17,5,336.89831400266155
99,21,9,148.28265781927198
100,6,1,257.9313421197172
101,26,4,344.31423021777135
102,32,1,53.42546325270684
103,31,7,18.261611691430716
104,31,8,298.54976221194045
105,5,7,260.74930359878886
106,38,4,437.3845476227199
107,39,8,197.42597214752533
108,14,6,13.338384428469734
109,43,8,33.60278365334041
110,15,6,303.08392656253903
111,32,8,495.0410851810952
112,36,6,487.43959452895683
113,5,9,35.77781690448238
114,18,1,476.39399559107284
115,26,7,168.37996540269353
116,12,9,336.8930265861122
117,11,1,90.72642461319973
118,20,3,200.8907881797569
119,31,6,142.90419845703218
120,49,2,29.265002686961772
121,29,2,43.66884486291648
122,42,2,289.95672365406296
123,49,8,30.67915438139344
124,40,8,197.44039856917124
125,10,6,148.22794886432737
126,3,5,499.84099822219235
127,2,2,178.41405065077
128,29,5,176.87246217664466
129,33,8,325.7670402127476
130,12,6,392.2257718295126
131,33,5,323.927397414075
132,42,9,492.48471194773066
133,22,5,385.39878280838053
134,25,1,289.8752034490405
135,48,3,319.8553415931862
136,42,7,274.67395445713845
137,34,6,191.66751200457668
138,49,1,327.0669078667755
139,48,3,40.47429515179256
140,38,1,128.15487596925112
141,26,7,282.7085962725566
142,30,1,135.2129232453013
143,7,3,469.3405832332654
144,38,3,479.31274694115814
145,50,4,149.58511076848652
146,50,4,413.5519937860863
147,6,9,439.9136973376721
148,40,3,104.71042580022592
149,35,1,33.721249534829695
150,42,1,216.6386715903312
151,20,5,306.7455253893083
152,36,6,250.21797962244128
153,7,8,327.5162103778104
154,20,9,393.7466160138962
155,10,9,102.52351138564391
156,39,8,364.3328610937622
157,29,6,354.75949867582534
158,35,6,83.15091449076468
159,12,9,333.131176508075
160,30,5,307.3087059406037
161,27,2,257.3689912650161
162,19,2,210.09594060077666
163,40,5,87.51326440720439
164,12,6,154.64455049234186
165,26,9,329.210091011109
166,49,7,217.52400210086
167,3,4,42.011718641543276
168,7,1,436.30403719371
169,44,5,118.49589154058434
170,9,9,93.23109647236804
171,30,5,343.7952633503055
172,25,1,333.1959582966294
173,10,6,170.84782989275487
174,15,2,170.0213317336799
175,50,6,16.41961052355507
176,43,2,87.0139323232498
177,28,1,38.21828395027828
178,38,5,213.4876060489745
179,30,5,14.78014130806953
180,21,4,84.94380957006645
181,2,8,251.6500348593345
182,12,3,396.4690099032282
183,47,5,13.253165096836934
184,21,7,461.9482587415699
185,7,6,426.3021687985532
186,49,6,420.0981660245178
187,24,1,310.26832539978324
188,46,4,452.8778824039613
189,24,1,455.4499040208352
190,4,4,397.84969373117
191,20,6,346.32015650981293
192,20,7,313.1540737915933
193,46,8,107.18070607745521
194,8,2,394.31768824560373
195,24,9,406.0291824821077
196,13,3,232.77231233308686
197,49,4,186.89499604359636
198,49,6,447.10224119719237
199,43,7,468.24461528596987
200,29,4,305.7908732934054
201,16,3,462.22187346853644
202,45,7,227.3540613497618
203,11,5,367.4457887988815
